ID,SAVETIME,USERIP,IP_INBPS,IP_OUTBPS,TCP_INBPS,TCP_OUTBPS,UDP_INBPS,UDP_OUTBPS,TCP_FLOWS,TCP_PEERS,PKTS_PER_TCPFLOW,AVGLEN_IN_TCPFLOW,AVGLEN_OUT_TCPFLOW,UDP_FLOWS,UDP_PEERS,PKTS_PER_UDPFLOW,AVGLEN_IN_UDPFLOW,AVGLEN_OUT_UDPFLOW,ipsec_flows,ipsec_hosts,PKTS_PER_IPSECFLOW,AVGLEN_IN_IPSECFLOW,AVGLEN_OUT_IPSECFLOW,ipsec_outbps,ipsec_inBPS,dns_querys,dns_answers,dns_errs,syn_outcount,syn_inacks,syn_incount,syn_outacks,ICMP_INPPS,ICMP_OUTPPS,OTHERIP_INPPS,OTHERIP_OUTPPS,TTLSERVER_MAX,TTLSERVER_MIN,TTLSERVER_AVG,TTLCLIENT_MAX,TTLCLIENT_MIN,TTLCLIENT_AVG,HTTP_GETS,HTTP_POSTS,HTTP_FAILS,MAIL_SENT,MAIL_RECV,MEDIA_FLOWS,FTP_DOWNLOADS,FTP_UPLOADS,SYN_FROM_PEERS,SYN_TO_PEERS,RST_FROM_PEERS,RST_TO_PEERS,TCP_FROM_PEERS,TCP_TO_PEERS,UDP_FROM_PEERS,UDP_TO_PEERS,OTHERIP_FROM_PEERS,OTHERIP_TO_PEERS,DNS_FROM_PEERS,DNS_TO_PEERS,SYN_TO_PORT_PEERS,label
10,2015-2-18 09:07:00,59.166.0.9,1752440,120656,1751680,119936,752,720,95,1,214,1046,105,4,1,27,101,97,0,0,0,0,0,0,0,46,23,0,192,192,0,0,0,0,0,0,3,2,2,1,0,0,46,0,20,12,0,0,4,4,0,1,1,1,1,1,1,1,0,0,1,1,2,0
11,2015-2-18 09:08:00,175.45.176.0,3872,39192,3872,32208,0,6560,10,1,44,199,799,86,1,1,0,572,0,0,0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,3,2,2,2,0,0,4,2,2,6,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,6,1
12,2015-2-18 09:08:00,149.171.126.12,2496,576,2464,576,24,0,3,1,28,370,127,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,2,0,1,3,2,2,0,2,0,2,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
13,2015-2-18 09:08:00,59.166.0.8,665576,81112,663800,78792,1768,2320,84,1,126,829,126,40,1,6,96,126,0,0,0,0,0,0,0,58,29,0,168,168,0,0,0,0,0,0,3,2,2,1,0,0,54,0,24,10,0,0,4,4,0,1,1,1,1,1,1,1,0,0,1,1,2,0
14,2015-2-18 09:08:00,10.40.85.1,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,2015-2-18 09:08:00,10.40.182.1,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,2015-2-18 09:08:00,149.171.126.7,77560,373472,76080,372216,1472,1256,71,1,109,155,679,20,1,9,115,98,0,0,0,0,0,0,0,0,0,0,0,0,144,144,0,0,0,0,1,0,0,3,2,2,32,0,14,14,0,0,4,4,1,0,1,1,1,1,1,1,0,0,1,1,0,0
17,2015-2-18 09:08:00,175.45.176.1,44096,143656,43784,142296,312,1360,16,1,92,689,1071,14,1,1,592,680,0,0,0,0,0,0,0,0,0,0,32,32,0,0,0,0,0,0,3,2,2,2,0,1,24,2,2,2,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,4,1
18,2015-2-18 09:08:00,149.171.126.19,17376,11808,10992,11808,6384,0,4,1,49,808,922,84,1,1,570,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,2,0,0,3,2,2,4,2,4,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
19,2015-2-18 09:08:00,149.171.126.16,800,160,800,160,0,0,3,1,17,189,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,0,3,2,2,6,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
20,2015-2-18 09:08:00,149.171.126.10,2952,17120,2952,17120,0,0,5,1,40,308,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,2,0,1,3,2,2,10,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
21,2015-2-18 09:08:00,149.171.126.17,18872,11416,18552,11104,312,312,9,1,41,650,520,2,1,4,592,592,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,2,0,1,3,2,2,4,0,0,2,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0
22,2015-2-18 09:09:00,175.45.176.2,339208,8344,339208,8344,0,0,10,1,242,1283,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,3,2,2,2,0,1,6,0,0,4,0,0,2,0,0,1,1,1,1,1,0,0,0,0,0,0,5,1
23,2015-2-18 09:09:00,149.171.126.14,616,11128,616,11128,0,0,4,1,36,86,907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,2,0,1,3,2,2,4,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
24,2015-2-18 09:09:00,149.171.126.16,3216,15888,3160,15888,48,0,5,1,39,312,976,4,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,2,0,0,3,2,2,6,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
25,2015-2-18 09:09:00,149.171.126.13,5672,7176,5624,7176,48,0,8,1,30,334,456,4,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,2,0,1,3,2,2,4,0,0,4,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
26,2015-2-18 09:09:00,149.171.126.18,2696,314280,2648,314280,48,0,4,1,514,66,1340,2,1,1,184,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,2,0,1,3,2,2,4,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
27,2015-2-18 09:09:00,149.171.126.10,1720,3672,1488,3672,232,0,4,1,28,199,475,4,1,1,446,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,2,0,1,3,2,2,6,0,0,2,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
28,2015-2-18 09:10:00,149.171.126.9,75328,994008,73200,992264,2128,1744,78,1,171,98,956,32,1,8,119,97,0,0,0,0,0,0,0,0,0,0,0,0,162,162,0,0,0,0,1,0,0,3,2,2,44,0,16,4,0,0,2,2,1,0,1,1,1,1,1,1,0,0,1,1,0,0
29,2015-2-18 09:10:00,59.166.0.6,1856440,101832,1854536,99152,1904,2680,101,1,201,1113,94,52,1,5,95,134,0,0,0,0,0,0,0,46,23,0,202,202,0,0,0,0,0,0,3,2,2,1,0,0,58,0,24,4,0,0,6,6,0,1,1,1,1,1,1,1,0,0,1,1,2,0
30,2015-2-18 09:10:00,149.171.126.14,27592,880,27592,880,0,0,5,1,59,958,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,2,0,0,3,2,2,2,0,0,4,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
31,2015-2-18 09:10:00,175.45.176.2,1640,8952,1640,7384,0,24,14,1,19,121,329,2,1,1,0,100,0,0,0,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,3,2,2,2,0,0,16,2,4,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,4,1
32,2015-2-18 09:10:00,149.171.126.3,135912,2346648,134184,2345288,1728,1360,102,1,244,104,1148,28,1,7,122,96,0,0,0,0,0,0,0,0,0,0,0,0,206,206,0,0,0,0,1,0,0,3,2,2,76,0,32,14,0,0,2,2,1,0,1,1,1,1,1,1,0,0,1,1,0,0
33,2015-2-18 09:11:00,59.166.0.4,714784,78144,713616,76664,1160,1480,69,1,149,901,130,24,1,7,97,123,0,0,0,0,0,0,0,42,21,0,134,134,0,0,0,0,0,0,3,2,2,1,0,0,44,0,22,12,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,3,0
34,2015-2-18 09:11:00,149.171.126.9,81640,687936,80368,686920,1264,1016,97,1,114,119,852,20,1,7,122,97,0,0,0,0,0,0,0,0,0,0,0,0,186,186,0,0,0,0,1,0,0,3,2,2,32,0,16,10,0,0,4,4,1,0,1,1,1,1,1,1,0,0,1,1,0,0
35,2015-2-18 09:11:00,59.166.0.9,1073552,96088,1072112,94208,1432,1872,93,1,156,948,116,32,1,7,96,125,0,0,0,0,0,0,0,48,24,0,184,184,0,0,0,0,0,0,3,2,2,1,0,0,42,0,20,10,0,0,8,8,0,1,1,1,1,1,1,1,0,0,1,1,3,0
36,2015-2-18 09:11:00,149.171.126.5,74832,185984,73320,184688,1504,1296,73,1,88,170,428,20,1,9,115,99,0,0,0,0,0,0,0,0,0,0,0,0,144,144,0,0,0,0,1,0,0,3,2,2,30,0,14,14,0,0,2,2,1,0,1,1,1,1,1,1,0,0,1,1,0,0
37,2015-2-18 09:11:00,149.171.126.4,117808,1441288,116136,1439992,1664,1288,118,1,159,112,981,28,1,7,125,97,0,0,0,0,0,0,0,0,0,0,0,0,234,234,0,0,0,0,1,0,0,3,2,2,28,0,14,12,0,0,10,10,1,0,1,1,1,1,1,1,0,0,1,1,0,0
38,2015-2-18 09:11:00,59.166.0.5,1064280,104392,1062680,102472,1592,1920,84,1,154,1038,145,28,1,8,98,118,0,0,0,0,0,0,0,66,33,0,168,168,0,0,0,0,0,0,3,2,2,1,0,0,56,0,22,18,0,0,6,6,0,1,1,1,1,1,1,1,0,0,1,1,2,0
39,2015-2-18 09:11:00,59.166.0.0,1487336,108376,1486400,107176,928,1200,90,1,193,1064,116,20,1,7,97,125,0,0,0,0,0,0,0,32,16,0,176,176,0,0,0,0,0,0,3,2,2,1,0,0,32,0,14,14,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,2,0
40,2015-2-18 09:11:00,149.171.126.2,57096,378360,55976,377424,1112,928,88,1,87,116,687,16,1,9,116,97,0,0,0,0,0,0,0,0,0,0,0,0,172,172,0,0,0,0,1,0,0,3,2,2,70,0,36,4,0,0,8,8,1,0,1,1,1,1,1,1,0,0,1,1,0,0
41,2015-2-18 09:11:00,149.171.126.1,59416,677296,57984,676184,1432,1104,71,1,124,118,984,24,1,7,124,96,0,0,0,0,0,0,0,0,0,0,0,0,140,140,0,0,0,0,1,0,0,3,2,2,70,0,32,6,0,0,4,4,1,0,1,1,1,1,1,1,0,0,1,1,0,0
42,2015-2-18 09:11:00,59.166.0.1,377808,63224,377032,62400,768,816,93,1,92,636,113,8,1,14,100,105,0,0,0,0,0,0,0,42,21,0,184,184,0,0,0,0,0,0,3,2,2,1,0,0,56,0,28,4,0,0,8,8,0,1,1,1,1,1,1,1,0,0,1,1,2,0
43,2015-2-18 09:11:00,175.45.176.2,3752,71288,3736,70840,16,440,12,1,61,142,983,10,1,1,60,279,0,0,0,0,0,0,0,0,0,0,24,24,0,0,0,0,0,0,4,2,2,2,0,1,12,0,0,4,0,0,2,0,0,1,1,1,1,1,1,1,0,0,0,0,3,1
44,2015-2-18 09:12:00,149.171.126.1,102344,1113256,100584,1112000,1752,1248,101,1,155,114,912,36,1,5,134,95,0,0,0,0,0,0,0,0,0,0,0,0,200,200,0,0,0,0,1,0,0,3,2,2,20,0,10,10,0,0,8,8,1,0,1,1,1,1,1,1,0,0,1,1,0,0
45,2015-2-18 09:12:00,59.166.0.1,354264,71264,352752,69368,1512,1896,81,1,94,651,143,32,1,7,97,122,0,0,0,0,0,0,0,52,26,0,164,164,0,0,0,0,0,0,3,2,2,1,0,0,58,0,28,10,0,0,4,4,0,1,1,1,1,1,1,1,0,0,1,1,1,0
46,2015-2-18 09:12:00,59.166.0.7,254184,77184,252968,75616,1208,1568,81,1,82,550,177,28,1,6,97,125,0,0,0,0,0,0,0,38,19,0,164,164,0,0,0,0,0,0,3,2,2,1,0,0,18,0,8,14,0,0,10,10,0,1,1,1,1,1,1,1,0,0,1,1,2,0
47,2015-2-18 09:12:00,149.171.126.9,103528,539648,101840,538296,1680,1344,102,1,95,171,765,28,1,7,121,97,0,0,0,0,0,0,0,0,0,0,0,0,208,208,0,0,0,0,1,0,0,3,2,2,58,0,26,20,0,0,10,10,1,0,1,1,1,1,1,1,0,0,1,1,0,0
48,2015-2-18 09:12:00,59.166.0.9,1341040,82280,1340112,81264,920,1008,83,1,184,1083,101,12,1,11,99,108,0,0,0,0,0,0,0,46,23,0,166,166,0,0,0,0,0,0,3,2,2,1,0,0,46,0,20,6,0,0,10,10,0,1,1,1,1,1,1,1,0,0,1,1,2,0
49,2015-2-18 09:12:00,149.171.126.2,100728,1236824,99624,1235888,1096,928,79,1,193,121,1012,16,1,9,114,97,0,0,0,0,0,0,0,0,0,0,0,0,160,160,0,0,0,0,1,0,0,3,2,2,20,0,10,14,0,0,2,2,1,0,1,1,1,1,1,1,0,0,1,1,0,0
50,2015-2-18 09:12:00,175.45.176.2,221784,6152,221784,6104,0,48,13,1,132,1221,129,4,1,1,0,100,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,0,0,3,2,2,2,0,1,6,6,0,2,2,0,2,0,0,1,1,1,1,1,0,1,0,0,0,0,4,1
51,2015-2-18 09:12:00,149.171.126.15,320,632,272,632,48,0,2,1,18,102,298,4,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,2,0,0,3,2,2,4,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
52,2015-2-18 09:12:00,149.171.126.5,62208,349376,60720,348080,1480,1288,77,1,89,140,710,20,1,9,113,99,0,0,0,0,0,0,0,0,0,0,0,0,154,154,0,0,0,0,1,0,0,3,2,2,32,0,14,8,0,0,10,10,1,0,1,1,1,1,1,1,0,0,1,1,0,0
53,2015-2-18 09:12:00,59.166.0.4,214696,70832,213480,69256,1216,1576,67,1,92,512,167,28,1,6,97,126,0,0,0,0,0,0,0,38,19,0,134,134,0,0,0,0,0,0,3,2,2,1,0,0,32,0,16,14,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0
54,2015-2-18 09:12:00,149.171.126.8,80904,398824,79024,397432,1872,1384,91,1,96,142,642,36,1,6,130,96,0,0,0,0,0,0,0,0,0,0,0,0,182,182,0,0,0,0,1,0,0,3,2,2,30,0,14,12,0,0,6,6,1,0,1,1,1,1,1,1,0,0,1,1,0,0
55,2015-2-18 09:13:00,59.166.0.2,1542344,135288,1540808,133368,1528,1912,110,1,181,984,122,32,1,7,97,121,0,0,0,0,0,0,0,54,27,0,226,226,0,0,0,0,0,0,3,2,2,1,0,0,40,0,18,18,0,0,8,8,0,1,1,1,1,1,1,1,0,0,1,1,2,0
56,2015-2-18 09:13:00,149.171.126.1,101632,913312,99344,911528,2280,1776,75,1,180,130,876,40,1,6,124,96,0,0,0,0,0,0,0,0,0,0,0,0,156,156,0,0,0,0,1,0,0,3,2,2,36,0,18,14,0,0,4,4,1,0,1,1,1,1,1,1,0,0,1,1,0,0
57,2015-2-18 09:13:00,175.45.176.1,5112,21240,5112,21136,0,104,12,1,34,242,609,8,1,1,0,101,0,0,0,0,0,0,0,0,0,0,24,24,0,0,0,0,0,0,3,2,2,2,0,1,12,2,0,4,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,5,1
58,2015-2-18 09:13:00,59.166.0.9,1033896,80544,1032288,78320,1608,2216,83,1,163,962,105,44,1,5,96,132,0,0,0,0,0,0,0,38,19,0,166,166,0,0,0,0,0,0,3,2,2,1,0,0,38,0,18,6,0,0,4,4,0,1,1,1,1,1,1,1,0,0,1,1,2,0
59,2015-2-18 09:13:00,149.171.126.19,800,528,800,528,0,0,6,1,20,88,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,1,0,0,3,2,2,2,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
60,2015-2-18 09:13:00,10.40.85.10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
61,2015-2-18 09:13:00,175.45.176.2,6632,3784,6632,3320,0,456,12,1,24,355,159,4,1,1,0,862,0,0,0,0,0,0,0,0,0,0,24,24,0,0,0,0,0,0,3,2,2,2,0,1,8,0,0,4,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,5,1
62,2015-2-18 09:13:00,149.171.126.15,1264,7072,1064,7072,192,0,6,1,26,108,617,2,1,1,731,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,2,0,0,3,2,2,8,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
63,2015-2-18 09:13:00,149.171.126.12,368,480,344,480,24,0,2,1,20,117,202,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,2,0,0,3,2,2,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
64,2015-2-18 09:13:00,149.171.126.11,2776,720,2456,720,312,0,4,1,26,297,122,4,1,1,590,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,2,0,1,3,2,2,6,0,0,2,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
65,2015-2-18 09:13:00,175.45.176.0,6856,1704,6856,1512,0,192,9,1,24,451,105,2,1,1,0,731,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,3,2,2,2,0,1,8,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,4,1
66,2015-2-18 09:14:00,149.171.126.12,5592,8512,5592,8512,0,0,7,1,29,395,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,2,0,1,3,2,2,6,0,0,2,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
67,2015-2-18 09:14:00,149.171.126.17,47256,7088,47256,7088,0,0,8,1,67,947,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,2,0,0,3,2,2,2,2,0,4,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
68,2015-2-18 09:14:00,149.171.126.15,3328,4336,3328,4336,0,0,5,1,24,378,561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,2,0,1,3,2,2,8,0,2,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
69,2015-2-18 09:14:00,149.171.126.19,1632,624,1600,624,24,0,9,1,18,122,73,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,1,0,0,3,2,2,2,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
70,2015-2-18 09:14:00,149.171.126.14,736,4904,712,4904,24,0,3,1,32,127,657,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,2,0,1,3,2,2,4,0,0,2,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
71,2015-2-18 09:15:00,149.171.126.3,85448,286832,83320,285048,2128,1784,95,1,86,153,514,32,1,8,117,98,0,0,0,0,0,0,0,0,0,0,0,0,188,188,0,0,0,0,1,0,0,3,2,2,36,0,18,14,0,0,8,8,1,0,1,1,1,1,1,1,0,0,1,1,0,0
72,2015-2-18 09:15:00,59.166.0.1,977752,100176,976552,98688,1200,1480,92,1,152,915,123,24,1,7,98,121,0,0,0,0,0,0,0,44,22,0,182,182,0,0,0,0,0,0,3,2,2,1,0,0,40,0,18,14,0,0,2,2,0,1,1,1,1,1,1,1,0,0,1,1,2,0
73,2015-2-18 09:15:00,59.166.0.5,1202256,85320,1200944,83752,1304,1568,86,1,187,945,95,24,1,8,98,117,0,0,0,0,0,0,0,52,26,0,162,162,0,0,0,0,0,0,3,2,2,1,0,0,58,0,26,4,0,0,4,4,0,1,1,1,1,1,1,1,0,0,1,1,2,0
74,2015-2-18 09:15:00,149.171.126.9,97136,978712,94608,976824,2528,1888,98,1,138,124,928,48,1,6,129,97,0,0,0,0,0,0,0,0,0,0,0,0,184,184,0,0,0,0,1,0,0,3,2,2,56,0,26,12,0,0,4,4,1,0,1,1,1,1,1,1,0,0,1,1,0,0
75,2015-2-18 09:15:00,149.171.126.2,95360,1518320,94256,1517376,1104,936,96,1,182,102,1073,16,1,9,115,98,0,0,0,0,0,0,0,0,0,0,0,0,192,192,0,0,0,0,1,0,0,3,2,2,82,0,38,8,0,0,4,4,1,0,1,1,1,1,1,1,0,0,1,1,0,0
76,2015-2-18 09:15:00,149.171.126.19,15768,3080,15736,3080,32,0,53,1,17,209,63,2,1,1,120,0,0,0,0,0,0,0,0,0,0,0,0,0,104,104,0,0,0,0,2,0,0,3,2,2,4,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
77,2015-2-18 09:15:00,149.171.126.16,1720,105576,1648,105576,64,0,6,1,130,78,1264,4,1,1,132,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,2,0,1,3,2,2,8,0,0,0,2,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
78,2015-2-18 09:15:00,149.171.126.17,2344,616,2312,616,24,0,8,1,18,202,80,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,1,0,0,3,2,2,4,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
79,2015-2-18 09:15:00,149.171.126.18,584,384,560,384,24,0,3,1,16,140,144,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,2,0,0,3,2,2,2,2,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
80,2015-2-18 09:15:00,149.171.126.11,1024,40800,1024,40800,0,0,5,1,80,71,1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,2,1,1,3,2,2,4,0,0,0,4,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
81,2015-2-18 09:15:00,149.171.126.12,128,48,128,48,0,0,1,1,16,96,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,3,2,2,2,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
